CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE327152,08/04/2021 12:40:00 PM,017XX W CHICAGO AVE,0890,THEFT,FROM BUILDING,BAR OR TAVERN,N,N,1213,1,06,1164468,1905389,41.896004045,-87.671389038,"(41.896004045, -87.671389038)"
JE325832,08/04/2021 12:42:00 PM,078XX S COTTAGE GROVE AVE,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,624,8,04B,1182926,1853108,41.752130519,-87.605224736,"(41.752130519, -87.605224736)"
JE325906,08/04/2021 12:42:00 PM,011XX S LAFLIN ST,0560,ASSAULT,SIMPLE,CHA PARKING LOT / GROUNDS,Y,N,1231,28,08A,1166546,1895280,41.868219921,-87.664046556,"(41.868219921, -87.664046556)"
JE325826,08/04/2021 12:49:00 PM,011XX S CLARK ST,1330,CRIMINAL TRESPASS,TO LAND,DEPARTMENT STORE,N,N,123,4,26,1175696,1895352,41.86821682,-87.6304532,"(41.86821682, -87.6304532)"
JE325855,08/04/2021 12:50:00 PM,016XX W MONTEREY AVE,0860,THEFT,RETAIL THEFT,SMALL RETAIL STORE,N,N,2234,34,06,1167385,1830155,41.689490753,-87.662830636,"(41.689490753, -87.662830636)"
JE325836,08/04/2021 12:55:00 PM,014XX N HALSTED ST,0560,ASSAULT,SIMPLE,STREET,N,N,1822,27,08A,1170747,1909809,41.907997534,-87.64819806,"(41.907997534, -87.64819806)"
JE325828,08/04/2021 12:59:00 PM,018XX E 95TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,VEHICLE NON-COMMERCIAL,Y,N,431,7,15,1190104,1842342,41.722417878,-87.579266607,"(41.722417878, -87.579266607)"
JE327899,08/04/2021 01:00:00 PM,057XX N WASHTENAW AVE,0281,CRIMINAL SEXUAL ASSAULT,NON-AGGRAVATED,RESIDENCE,N,N,2011,40,02,1157303,1938064,41.985815117,-87.696813512,"(41.985815117, -87.696813512)"
JE325842,08/04/2021 01:00:00 PM,079XX S EXCHANGE AVE,0460,BATTERY,SIMPLE,RESTAURANT,Y,N,422,7,08B,1197209,1852940,41.751325905,-87.552890447,"(41.751325905, -87.552890447)"
JE328177,08/04/2021 01:00:00 PM,023XX S SAWYER AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,APARTMENT,N,N,1024,12,14,1155062,1888278,41.849243612,-87.706394429,"(41.849243612, -87.706394429)"
JE328776,08/04/2021 01:00:00 PM,019XX W 21ST PL,0820,THEFT,$500 AND UNDER,RESIDENCE - YARD (FRONT / BACK),N,N,1234,25,06,1163787,1889755,41.853117387,-87.674331066,"(41.853117387, -87.674331066)"
JE325933,08/04/2021 01:00:00 PM,055XX N WINTHROP AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,APARTMENT,N,N,2023,48,11,1167869,1936941,41.982511524,-87.65798498,"(41.982511524, -87.65798498)"
JE327019,08/04/2021 01:00:00 PM,015XX W JARVIS AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,APARTMENT,N,N,2423,49,11,1164769,1949132,42.016030425,-87.66903815,"(42.016030425, -87.66903815)"
JE326298,08/04/2021 01:00:00 PM,0000X W WASHINGTON ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,111,42,07,1175800,1900817,41.883210775,-87.629906972,"(41.883210775, -87.629906972)"
JE327544,08/04/2021 01:00:00 PM,072XX N OAKLEY AVE,0810,THEFT,OVER $500,RESIDENCE,N,N,2411,49,06,1159747,1947897,42.012747011,-87.687551833,"(42.012747011, -87.687551833)"
JE326161,08/04/2021 01:00:00 PM,002XX E 111TH ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,PARK PROPERTY,N,N,531,9,04A,1179719,1831409,41.692659589,-87.617637943,"(41.692659589, -87.617637943)"
JE326325,08/04/2021 01:00:00 PM,104XX S EWING AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,OTHER (SPECIFY),N,N,432,10,11,1202167,1836376,41.705748256,-87.535285019,"(41.705748256, -87.535285019)"
JE325898,08/04/2021 01:00:00 PM,027XX W GLADYS AVE,0560,ASSAULT,SIMPLE,SIDEWALK,N,N,1125,27,08A,1158174,1898315,41.876723264,-87.694698972,"(41.876723264, -87.694698972)"
