CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
JE331955,08/06/2021 12:00:00 AM,049XX W HIRSCH ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,2533,37,08A,1143200,1908859,41.905949824,-87.749415901,"(41.905949824, -87.749415901)"
JE333598,08/06/2021 12:00:00 AM,040XX N NARRAGANSETT AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,APARTMENT,N,N,1624,38,11,1132974,1926074,41.953374668,-87.786577087,"(41.953374668, -87.786577087)"
JE329359,08/06/2021 12:00:00 AM,031XX W 45TH ST,0820,THEFT,$500 AND UNDER,STREET,N,N,922,14,06,1155984,1874629,41.811770552,-87.703377907,"(41.811770552, -87.703377907)"
JE327749,08/06/2021 12:01:00 AM,018XX E 72ND ST,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,324,7,04B,1189742,1857599,41.764293212,-87.58010338,"(41.764293212, -87.58010338)"
JE333048,08/06/2021 12:01:00 AM,073XX N DAMEN AVE,1154,DECEPTIVE PRACTICE,FINANCIAL IDENTITY THEFT $300 AND UNDER,RESIDENCE,N,N,2424,49,11,1161661,1948878,42.01539906,-87.680481741,"(42.01539906, -87.680481741)"
JE328014,08/06/2021 12:01:00 AM,070XX S PARNELL AVE,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,APARTMENT,N,N,732,6,15,1173834,1858326,41.766655655,-87.638388243,"(41.766655655, -87.638388243)"
JE327751,08/06/2021 12:05:00 AM,009XX S SPRINGFIELD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1133,24,08B,1150527,1895644,41.869546445,-87.722846293,"(41.869546445, -87.722846293)"
JE327773,08/06/2021 12:20:00 AM,033XX W HARRISON ST,0860,THEFT,RETAIL THEFT,GAS STATION,N,N,1134,24,06,1153993,1897159,41.873635421,-87.710081187,"(41.873635421, -87.710081187)"
JE327762,08/06/2021 12:20:00 AM,030XX S PITNEY CT,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,913,11,14,1167071,1884458,41.83851213,-87.6624296,"(41.83851213, -87.6624296)"
JE327766,08/06/2021 12:21:00 AM,039XX W 61ST ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,823,23,04A,1151148,1863861,41.782317468,-87.721397518,"(41.782317468, -87.721397518)"
JE327791,08/06/2021 12:32:00 AM,029XX S FEDERAL ST,0555,ASSAULT,AGGRAVATED PROTECTED EMPLOYEE - HANDGUN,SIDEWALK,N,N,133,3,04A,1176025,1885766,41.841904764,-87.629533842,"(41.841904764, -87.629533842)"
JE327774,08/06/2021 12:43:00 AM,032XX W DOUGLAS BLVD,0460,BATTERY,SIMPLE,STREET,N,N,1022,24,08B,1155018,1893109,41.862501303,-87.706426462,"(41.862501303, -87.706426462)"
JE328012,08/06/2021 12:47:00 AM,076XX S STATE ST,1310,CRIMINAL DAMAGE,TO PROPERTY,GAS STATION,N,N,623,6,14,1177594,1854568,41.756259091,-87.624719943,"(41.756259091, -87.624719943)"
JE327782,08/06/2021 12:47:00 AM,015XX W GARFIELD BLVD,041A,BATTERY,AGGRAVATED - HANDGUN,STREET,N,N,934,16,04B,1167153,1868261,41.794064057,-87.662592631,"(41.794064057, -87.662592631)"
JE327781,08/06/2021 12:50:00 AM,022XX W DIVERSEY PKWY,041A,BATTERY,AGGRAVATED - HANDGUN,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1432,1,04B,1161089,1918562,41.932222582,-87.683432779,"(41.932222582, -87.683432779)"
JE327785,08/06/2021 12:53:00 AM,068XX N WESTERN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,SMALL RETAIL STORE,N,N,2411,50,14,1159082,1945162,42.005255827,-87.69007432,"(42.005255827, -87.69007432)"
JE327783,08/06/2021 12:55:00 AM,035XX S RHODES AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,APARTMENT,N,N,212,4,04A,1180172,1881335,41.829651528,-87.614451899,"(41.829651528, -87.614451899)"
JE327780,08/06/2021 12:55:00 AM,083XX S COLFAX AVE,0460,BATTERY,SIMPLE,VEHICLE NON-COMMERCIAL,N,N,423,7,08B,1194951,1850276,41.744071584,-87.561252336,"(41.744071584, -87.561252336)"
JE327788,08/06/2021 12:57:00 AM,022XX W DIVISION ST,0484,BATTERY,"PROTECTED EMPLOYEE - HANDS, FISTS, FEET, NO / MINOR INJURY",HOSPITAL BUILDING / GROUNDS,N,N,1212,2,08B,1161104,1907941,41.903077492,-87.683673325,"(41.903077492, -87.683673325)"
JE331985,08/06/2021 01:00:00 AM,027XX W GLADYS AVE,0460,BATTERY,SIMPLE,STREET,N,N,1125,27,08B,1158222,1898316,41.876725028,-87.694522703,"(41.876725028, -87.694522703)"
JE329191,08/06/2021 01:00:00 AM,041XX S MAPLEWOOD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,N,N,921,12,26,1160050,1877087,41.818432848,-87.688396222,"(41.818432848, -87.688396222)"
JE327806,08/06/2021 01:05:00 AM,081XX S COMMERCIAL AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,422,7,04A,1197604,1851646,41.747765234,-87.551486087,"(41.747765234, -87.551486087)"
JE327786,08/06/2021 01:10:00 AM,027XX W BRYN MAWR AVE,051A,ASSAULT,AGGRAVATED - HANDGUN,RESIDENCE - GARAGE,N,N,2011,40,04A,1157187,1937085,41.983131061,-87.697266896,"(41.983131061, -87.697266896)"
JE327797,08/06/2021 01:14:00 AM,039XX W CERMAK RD,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,1014,24,05,1150269,1889087,41.851558283,-87.723964347,"(41.851558283, -87.723964347)"
JE327808,08/06/2021 01:18:00 AM,048XX S DREXEL BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,N,222,4,04A,1183133,1873130,41.807067906,-87.603843747,"(41.807067906, -87.603843747)"
JE327787,08/06/2021 01:20:00 AM,040XX W CHICAGO AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,1111,37,06,1149495,1905045,41.895363905,-87.726390989,"(41.895363905, -87.726390989)"
JE327926,08/06/2021 01:30:00 AM,018XX W HARRISON ST,1330,CRIMINAL TRESPASS,TO LAND,HOTEL / MOTEL,Y,N,1231,27,26,1164057,1897402,41.874095762,-87.673124235,"(41.874095762, -87.673124235)"
JE328032,08/06/2021 01:30:00 AM,122XX S STATE ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,Y,523,9,08A,1178458,1823871,41.672002853,-87.622482364,"(41.672002853, -87.622482364)"
JE329616,08/06/2021 01:31:00 AM,013XX S KEDZIE AVE,0320,ROBBERY,STRONG ARM - NO WEAPON,ALLEY,N,N,1022,24,03,1155239,1893672,41.864041805,-87.705600084,"(41.864041805, -87.705600084)"
JE327799,08/06/2021 01:32:00 AM,048XX S DREXEL BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,222,4,08B,1183133,1873130,41.807067906,-87.603843747,"(41.807067906, -87.603843747)"
JE327794,08/06/2021 01:34:00 AM,036XX W FIFTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1133,28,07,1151974,1897714,41.875198392,-87.717479393,"(41.875198392, -87.717479393)"
JE327793,08/06/2021 01:35:00 AM,012XX S LAWNDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,STREET,N,N,1011,24,14,1151904,1894149,41.865417011,-87.717830262,"(41.865417011, -87.717830262)"
JE327831,08/06/2021 01:40:00 AM,049XX N ST LOUIS AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,ALLEY,N,N,1712,33,03,1152163,1932482,41.970601046,-87.715866263,"(41.970601046, -87.715866263)"
JE327813,08/06/2021 01:42:00 AM,030XX N HALSTED ST,1310,CRIMINAL DAMAGE,TO PROPERTY,DRUG STORE,N,N,1933,44,14,1170394,1920533,41.93743245,-87.649180491,"(41.93743245, -87.649180491)"
JE327812,08/06/2021 01:44:00 AM,039XX W ROOSEVELT RD,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,STREET,N,N,1132,24,15,1150084,1894415,41.866182559,-87.724504682,"(41.866182559, -87.724504682)"
JE327809,08/06/2021 01:45:00 AM,004XX N STATE ST,0320,ROBBERY,STRONG ARM - NO WEAPON,BAR OR TAVERN,N,N,1831,42,03,1176292,1903437,41.890389116,-87.628021263,"(41.890389116, -87.628021263)"
JE327801,08/06/2021 01:46:00 AM,033XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1134,24,08B,1154345,1895847,41.870028132,-87.708823855,"(41.870028132, -87.708823855)"
JE329011,08/06/2021 01:53:00 AM,004XX E PERSHING RD,0320,ROBBERY,STRONG ARM - NO WEAPON,GAS STATION,N,N,214,3,03,1179996,1879223,41.82386008,-87.615162409,"(41.82386008, -87.615162409)"
JE328641,08/06/2021 02:00:00 AM,020XX W GARFIELD BLVD,0320,ROBBERY,STRONG ARM - NO WEAPON,GAS STATION,N,N,932,16,03,1163839,1868180,41.793912094,-87.674747204,"(41.793912094, -87.674747204)"
JE327816,08/06/2021 02:00:00 AM,047XX S DR MARTIN LUTHER KING JR DR,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,223,3,14,1179656,1873779,41.808929094,-87.616576329,"(41.808929094, -87.616576329)"
JE328026,08/06/2021 02:00:00 AM,015XX W NORTH AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1433,2,07,1165854,1910738,41.91065261,-87.66614577,"(41.91065261, -87.66614577)"
JE327802,08/06/2021 02:00:00 AM,037XX W LAKE ST,051A,ASSAULT,AGGRAVATED - HANDGUN,STREET,N,Y,1122,28,04A,1151504,1901318,41.885097397,-87.719110354,"(41.885097397, -87.719110354)"
JE327833,08/06/2021 02:00:00 AM,074XX S YATES BLVD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,334,7,08B,1193494,1856161,41.760256249,-87.56639861,"(41.760256249, -87.56639861)"
JE327811,08/06/2021 02:08:00 AM,093XX S COMMERCIAL AVE,141B,WEAPONS VIOLATION,UNLAWFUL USE - OTHER FIREARM,STREET,N,N,423,10,15,1197766,1843631,41.725767406,-87.5511594,"(41.725767406, -87.5511594)"
JE328842,08/06/2021 02:10:00 AM,006XX S LOOMIS ST,033A,ROBBERY,ATTEMPT ARMED - HANDGUN,STREET,N,N,1231,28,03,1167151,1897233,41.873566146,-87.661769395,"(41.873566146, -87.661769395)"
JE328108,08/06/2021 02:15:00 AM,015XX S LAKE SHORE DR E,0630,BURGLARY,ATTEMPT FORCIBLE ENTRY,BOAT / WATERCRAFT,N,N,132,4,05,1179124,1892798,41.861130782,-87.617946617,"(41.861130782, -87.617946617)"
JE327820,08/06/2021 02:30:00 AM,001XX S CENTRAL PARK BLVD,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1122,28,03,1152410,1899177,41.879204425,-87.715839919,"(41.879204425, -87.715839919)"
JE327825,08/06/2021 02:30:00 AM,054XX S ASHLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,N,N,932,16,01A,1166597,1868709,41.795305308,-87.664618677,"(41.795305308, -87.664618677)"
JE327830,08/06/2021 02:33:00 AM,015XX W 74TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,CHURCH / SYNAGOGUE / PLACE OF WORSHIP,N,N,734,17,14,1167259,1855654,41.75946658,-87.662564522,"(41.75946658, -87.662564522)"
JE327817,08/06/2021 02:37:00 AM,029XX N CLYBOURN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,CHA APARTMENT,N,Y,1931,1,08B,1161663,1919424,41.934576004,-87.681299313,"(41.934576004, -87.681299313)"
JE327821,08/06/2021 02:46:00 AM,004XX W EVERGREEN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,1821,27,08B,1173299,1909288,41.906511566,-87.638838917,"(41.906511566, -87.638838917)"
JE327827,08/06/2021 02:48:00 AM,045XX W 16TH ST,1477,WEAPONS VIOLATION,RECKLESS FIREARM DISCHARGE,ALLEY,N,N,1012,24,15,1146438,1891655,41.858678948,-87.737959852,"(41.858678948, -87.737959852)"
JE328678,08/06/2021 02:54:00 AM,025XX W 113TH ST,0820,THEFT,$500 AND UNDER,STREET,N,N,2212,19,06,1161509,1829612,41.688124158,-87.684357756,"(41.688124158, -87.684357756)"
JE327841,08/06/2021 03:00:00 AM,034XX S PRAIRIE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,Y,211,3,08A,1178495,1882302,41.832343394,-87.620575287,"(41.832343394, -87.620575287)"
JE327835,08/06/2021 03:00:00 AM,010XX N HERMITAGE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1213,1,03,1164540,1906939,41.900255834,-87.671080654,"(41.900255834, -87.671080654)"
JE327834,08/06/2021 03:00:00 AM,013XX W 76TH ST,0810,THEFT,OVER $500,STREET,N,Y,612,17,06,1168737,1854385,41.755952522,-87.657184238,"(41.755952522, -87.657184238)"
JE330343,08/06/2021 03:00:00 AM,074XX S YATES BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,334,7,14,1193494,1856161,41.760256249,-87.56639861,"(41.760256249, -87.56639861)"
JE327873,08/06/2021 03:00:00 AM,055XX S UNION AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,711,20,08B,1172577,1868114,41.793542821,-87.642707476,"(41.793542821, -87.642707476)"
JE336442,08/06/2021 03:00:00 AM,020XX W NORTH AVE,0460,BATTERY,SIMPLE,SIDEWALK,N,Y,1424,1,08B,,,,,
JE327839,08/06/2021 03:11:00 AM,009XX N AVERS AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,Y,Y,1112,27,08B,1150547,1906060,41.898128681,-87.722500679,"(41.898128681, -87.722500679)"
JE328663,08/06/2021 03:15:00 AM,024XX S WESTERN AVE,0610,BURGLARY,FORCIBLE ENTRY,RESTAURANT,N,N,1034,25,05,1160759,1887560,41.847157309,-87.685505623,"(41.847157309, -87.685505623)"
JE327962,08/06/2021 03:25:00 AM,002XX W 83RD ST,1310,CRIMINAL DAMAGE,TO PROPERTY,BANK,N,N,622,21,14,1175944,1849925,41.74355527,-87.630905732,"(41.74355527, -87.630905732)"
JE327851,08/06/2021 03:27:00 AM,039XX W ARTHINGTON ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,ALLEY,N,Y,1132,24,08B,1150262,1895745,41.869828768,-87.723816556,"(41.869828768, -87.723816556)"
JE327840,08/06/2021 03:28:00 AM,038XX S ARCHER AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,N,N,911,12,14,1159878,1878917,41.823458129,-87.688976836,"(41.823458129, -87.688976836)"
JE327844,08/06/2021 03:30:00 AM,111XX S VERNON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,SIDEWALK,N,Y,531,9,08B,1181229,1831006,41.691519139,-87.612121962,"(41.691519139, -87.612121962)"
JE327848,08/06/2021 03:30:00 AM,085XX S STONY ISLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,COMMERCIAL / BUSINESS OFFICE,N,N,412,8,14,1188294,1848481,41.739307243,-87.585700982,"(41.739307243, -87.585700982)"
JE327847,08/06/2021 03:31:00 AM,109XX S WESTERN AVE,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,APARTMENT,Y,N,2212,19,15,1162341,1831988,41.694627085,-87.681246004,"(41.694627085, -87.681246004)"
JE327966,08/06/2021 03:45:00 AM,088XX S STONY ISLAND AVE,0610,BURGLARY,FORCIBLE ENTRY,COMMERCIAL / BUSINESS OFFICE,N,N,412,8,05,1188460,1846683,41.734369392,-87.585150064,"(41.734369392, -87.585150064)"
JE331621,08/06/2021 04:00:00 AM,012XX S SPRINGFIELD AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,1011,24,07,1150574,1894165,41.86548698,-87.722712365,"(41.86548698, -87.722712365)"
JE331001,08/06/2021 04:00:00 AM,051XX S CALUMET AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,231,3,07,1179365,1870997,41.801301698,-87.617728605,"(41.801301698, -87.617728605)"
JE328111,08/06/2021 04:00:00 AM,031XX W 79TH ST,0917,MOTOR VEHICLE THEFT,"CYCLE, SCOOTER, BIKE WITH VIN",SIDEWALK,N,N,835,18,07,1156462,1852065,41.749842003,-87.702232038,"(41.749842003, -87.702232038)"
JE327853,08/06/2021 04:00:00 AM,003XX W CERMAK RD,0340,ROBBERY,ATTEMPT STRONG ARM - NO WEAPON,STREET,N,N,914,25,03,1174168,1889748,41.852873238,-87.636229783,"(41.852873238, -87.636229783)"
JE328009,08/06/2021 04:00:00 AM,002XX S STATE ST,0820,THEFT,$500 AND UNDER,CTA TRAIN,N,N,113,42,06,1176417,1899156,41.878638996,-87.627691486,"(41.878638996, -87.627691486)"
JE327855,08/06/2021 04:12:00 AM,020XX N CALIFORNIA AVE,0860,THEFT,RETAIL THEFT,SIDEWALK,Y,N,1414,1,06,1157378,1913344,41.917980381,-87.697212498,"(41.917980381, -87.697212498)"
JE328719,08/06/2021 04:15:00 AM,011XX W LUNT AVE,0810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,2423,49,06,1167051,1946662,42.00920381,-87.660712548,"(42.00920381, -87.660712548)"
JE327859,08/06/2021 04:20:00 AM,008XX W AGATITE AVE,0460,BATTERY,SIMPLE,APARTMENT,N,N,1914,46,08B,1169857,1929750,41.962735985,-87.650884317,"(41.962735985, -87.650884317)"
JE327866,08/06/2021 04:40:00 AM,009XX N PARKSIDE AVE,0496,BATTERY,AGGRAVATED DOMESTIC BATTERY - KNIFE / CUTTING INSTRUMENT,RESIDENCE,N,Y,1511,29,04B,1138515,1905723,41.897430484,-87.766701942,"(41.897430484, -87.766701942)"
JE328047,08/06/2021 04:46:00 AM,002XX E 29TH ST,143A,WEAPONS VIOLATION,UNLAWFUL POSSESSION - HANDGUN,STREET,Y,N,133,4,15,1178237,1885818,41.841997429,-87.621414992,"(41.841997429, -87.621414992)"
JE327865,08/06/2021 04:48:00 AM,001XX E ONTARIO ST,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1834,42,03,1177137,1904514,41.893325357,-87.624885406,"(41.893325357, -87.624885406)"
JE327868,08/06/2021 04:55:00 AM,061XX S TROY ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,823,16,14,1156437,1863805,41.78205887,-87.702007889,"(41.78205887, -87.702007889)"
JE328169,08/06/2021 05:00:00 AM,035XX W 72ND ST,1360,CRIMINAL TRESPASS,TO VEHICLE,STREET,N,N,831,17,26,1154088,1856639,41.762441258,-87.710810198,"(41.762441258, -87.710810198)"
JE328033,08/06/2021 05:00:00 AM,050XX N Kenmore Ave,0820,THEFT,$500 AND UNDER,APARTMENT,N,N,2024,48,06,1168335,1933947,41.974285812,-87.656358176,"(41.974285812, -87.656358176)"
JE327978,08/06/2021 05:00:00 AM,056XX N WASHTENAW AVE,0820,THEFT,$500 AND UNDER,SIDEWALK,N,N,2011,40,06,1157282,1937583,41.98449566,-87.696903895,"(41.98449566, -87.696903895)"
JE328074,08/06/2021 05:00:00 AM,019XX S SPRINGFIELD AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,APARTMENT,N,Y,1014,24,26,1150706,1890198,41.854598482,-87.722331422,"(41.854598482, -87.722331422)"
JE329274,08/06/2021 05:30:00 AM,056XX W CATALPA AVE,0620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,1622,45,05,1137359,1936209,41.981108135,-87.770212313,"(41.981108135, -87.770212313)"
JE327883,08/06/2021 05:33:00 AM,021XX S RACINE AVE,0326,ROBBERY,AGGRAVATED VEHICULAR HIJACKING,STREET,N,N,1235,25,03,1168702,1889891,41.853385657,-87.656287501,"(41.853385657, -87.656287501)"
JE327892,08/06/2021 05:34:00 AM,067XX S BLACKSTONE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,Y,332,5,14,1187366,1860406,41.772052629,-87.588722816,"(41.772052629, -87.588722816)"
JE327939,08/06/2021 05:43:00 AM,065XX N FRANCISCO AVE,141A,WEAPONS VIOLATION,UNLAWFUL USE - HANDGUN,APARTMENT,Y,N,2412,50,15,1155814,1943196,41.999927791,-87.702150876,"(41.999927791, -87.702150876)"
JE328112,08/06/2021 05:44:00 AM,022XX E 84TH ST,4387,OTHER OFFENSE,VIOLATE ORDER OF PROTECTION,APARTMENT,N,N,412,7,26,1192741,1849721,41.742602743,-87.569367893,"(41.742602743, -87.569367893)"
JE327891,08/06/2021 05:57:00 AM,087XX S MANISTEE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,423,7,08B,1196146,1847657,41.736855332,-87.556960404,"(41.736855332, -87.556960404)"
JE328318,08/06/2021 06:00:00 AM,130XX S EVANS AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,533,9,14,1183712,1818909,41.658265858,-87.603406674,"(41.658265858, -87.603406674)"
JE327947,08/06/2021 06:00:00 AM,020XX S MORGAN ST,1330,CRIMINAL TRESPASS,TO LAND,NURSING / RETIREMENT HOME,N,N,1235,25,26,1170009,1890437,41.854855548,-87.651474466,"(41.854855548, -87.651474466)"
JE328502,08/06/2021 06:00:00 AM,060XX S WHIPPLE ST,0820,THEFT,$500 AND UNDER,STREET,N,N,823,16,06,1157085,1864406,41.783695021,-87.69961589,"(41.783695021, -87.69961589)"
JE336000,08/06/2021 06:00:00 AM,089XX S HOUSTON AVE,0820,THEFT,$500 AND UNDER,STREET,N,N,424,10,06,,,,,
JE335424,08/06/2021 06:18:00 AM,003XX S CAMPBELL AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER (SPECIFY),N,N,1125,27,26,1159793,1898430,41.877005624,-87.688751329,"(41.877005624, -87.688751329)"
JE327908,08/06/2021 06:25:00 AM,087XX S MORGAN ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2222,21,14,1171169,1846948,41.735491603,-87.64848843,"(41.735491603, -87.64848843)"
JE327930,08/06/2021 06:30:00 AM,021XX S CHINA PL,0486,BATTERY,DOMESTIC BATTERY SIMPLE,STREET,N,Y,914,25,08B,1174546,1890112,41.853863651,-87.634831547,"(41.853863651, -87.634831547)"
JE327912,08/06/2021 06:35:00 AM,120XX S PRINCETON AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,523,34,08B,1176448,1825172,41.675618267,-87.629800065,"(41.675618267, -87.629800065)"
JE331639,08/06/2021 06:45:00 AM,003XX E ILLINOIS ST,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,1834,42,06,1178708,1903688,41.891023035,-87.619141016,"(41.891023035, -87.619141016)"
JE328814,08/06/2021 06:45:00 AM,026XX E 78TH ST,0810,THEFT,OVER $500,STREET,N,N,421,7,06,1195402,1853765,41.753634556,-87.559484886,"(41.753634556, -87.559484886)"
JE328405,08/06/2021 07:00:00 AM,075XX S MERRILL AVE,0620,BURGLARY,UNLAWFUL ENTRY,RESIDENCE,N,N,414,8,05,1191843,1855420,41.758263117,-87.572473466,"(41.758263117, -87.572473466)"
JE327987,08/06/2021 07:00:00 AM,014XX W 94TH ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2222,21,08B,1168193,1842401,41.723078428,-87.659521747,"(41.723078428, -87.659521747)"
JE328375,08/06/2021 07:00:00 AM,014XX N ASHLAND AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,1433,2,14,1165454,1909993,41.908616809,-87.667636458,"(41.908616809, -87.667636458)"
JE328356,08/06/2021 07:00:00 AM,072XX S CONSTANCE AVE,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,N,N,324,7,14,1189624,1857405,41.763763694,-87.580542095,"(41.763763694, -87.580542095)"
JE327949,08/06/2021 07:11:00 AM,077XX S STATE ST,031A,ROBBERY,ARMED - HANDGUN,CAR WASH,N,N,623,6,03,1177624,1853795,41.754137211,-87.624633337,"(41.754137211, -87.624633337)"
JE327976,08/06/2021 07:20:00 AM,044XX S CICERO AVE,0810,THEFT,OVER $500,PARKING LOT / GARAGE (NON RESIDENTIAL),N,N,815,22,06,1145104,1874747,41.812306287,-87.74328289,"(41.812306287, -87.74328289)"
JE327934,08/06/2021 07:21:00 AM,067XX S BLACKSTONE AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,332,5,08B,1187366,1860406,41.772052629,-87.588722816,"(41.772052629, -87.588722816)"
JE331600,08/06/2021 07:30:00 AM,023XX N CAMPBELL AVE,0810,THEFT,OVER $500,RESIDENCE - PORCH / HALLWAY,N,N,1431,1,06,1159501,1915400,41.923578718,-87.689355748,"(41.923578718, -87.689355748)"
JE328444,08/06/2021 07:30:00 AM,056XX N ROCKWELL ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2011,40,07,1157983,1937431,41.984064242,-87.694329871,"(41.984064242, -87.694329871)"
JE327948,08/06/2021 07:30:00 AM,031XX E 77TH ST,0530,ASSAULT,AGGRAVATED - OTHER DANGEROUS WEAPON,PARK PROPERTY,N,N,421,7,04A,1197993,1855443,41.758174759,-87.549934016,"(41.758174759, -87.549934016)"
JE328364,08/06/2021 07:30:00 AM,049XX N MARMORA AVE,1365,CRIMINAL TRESPASS,TO RESIDENCE,RESIDENCE,N,N,1622,45,26,1135851,1932551,41.971097326,-87.775845896,"(41.971097326, -87.775845896)"
JE328017,08/06/2021 07:30:00 AM,005XX N PINE AVE,0560,ASSAULT,SIMPLE,APARTMENT,N,N,1523,37,08A,1139435,1903131,41.890300993,-87.763386087,"(41.890300993, -87.763386087)"
JE327954,08/06/2021 07:44:00 AM,047XX S WESTERN BLVD,051A,ASSAULT,AGGRAVATED - HANDGUN,GAS STATION,Y,N,931,15,04A,1161313,1873363,41.808187634,-87.683866331,"(41.808187634, -87.683866331)"
JE327950,08/06/2021 07:45:00 AM,070XX S COTTAGE GROVE AVE,1121,DECEPTIVE PRACTICE,COUNTERFEITING DOCUMENT,POLICE FACILITY / VEHICLE PARKING LOT,N,N,321,6,10,1182773,1858454,41.76680404,-87.605619683,"(41.76680404, -87.605619683)"
JE327980,08/06/2021 07:45:00 AM,013XX W 72ND PL,1320,CRIMINAL DAMAGE,TO VEHICLE,RESIDENCE,N,Y,734,6,14,1168555,1856686,41.762270695,-87.657785007,"(41.762270695, -87.657785007)"
JE327936,08/06/2021 07:46:00 AM,070XX S MERRILL AVE,041A,BATTERY,AGGRAVATED - HANDGUN,SIDEWALK,N,N,331,5,04B,1191766,1858552,41.766859444,-87.572654154,"(41.766859444, -87.572654154)"
JE329177,08/06/2021 07:50:00 AM,009XX S ASHLAND AVE,0810,THEFT,OVER $500,APARTMENT,N,N,1231,28,06,1165877,1895977,41.870146835,-87.666482703,"(41.870146835, -87.666482703)"
